Temp(C),Temp(K),Humidity,Pressure,Soil Moisture,Smoke Density,Air Density,Wind Speed,FFMC,DMC,DC,ISI,BUI,FWI,Risk
44.28,317.43,57.03,987.82,33.36,65.23,3.11,4.62,15.13,44.94,34.2,6.99,39.57,27.66,Medium
55.64,328.79,51.47,1022.63,17.76,49.57,3.11,6.56,8.47,22.33,25.41,5.56,23.87,13.27,Medium
30.93,304.08,62.45,944.23,27.15,59.99,3.11,5.15,7.9,33.24,49.38,4.07,41.31,16.81,Medium
55.14,328.29,76.21,1022.39,18.3,57.71,3.11,6.65,13.37,25.13,30.74,8.89,27.93,24.83,Medium
40.13,313.28,88.87,975.07,30.11,41.78,3.11,4.52,9.98,15.59,50.02,4.51,32.8,14.79,Medium
19.74,292.89,61.64,911.8,15.28,43.46,3.11,7.24,12.82,10.86,29.19,9.28,20.02,18.58,Medium
22.51,295.66,83.04,918.94,18.58,60.71,3.11,7.62,13.81,15.07,36.34,10.52,25.71,27.05,Medium
21.11,294.26,35.55,915.02,18.51,31.74,3.11,7.58,11.11,14.15,26.92,8.42,20.54,17.29,Medium
55.05,328.2,57.44,1022.21,30.3,34.64,3.11,6.34,12.42,32.77,33.42,7.87,33.09,26.04,Medium
21.79,294.94,72.85,916.81,36.82,35.67,3.11,2.4,12.01,41.19,69.37,2.88,55.28,15.92,Medium
17.39,290.54,54.94,902.26,31.52,47.02,3.11,4.97,12.94,33.09,50.24,6.43,41.67,26.79,Medium
46.82,319.97,43.47,996.68,25.85,40,3.11,6.92,6.86,15.75,46.18,4.75,30.96,14.71,Medium
18.57,291.72,74.05,906.78,26.53,59.42,3.11,7.41,9.38,26,30.79,6.95,28.39,19.73,Medium
44.68,317.83,60.86,987.53,32.63,61.92,3.11,4.79,6.39,45.19,56.49,3.06,50.84,15.56,Medium
29.48,302.63,42.74,942.65,34.29,48.61,3.11,5.03,12.24,27.75,47.34,6.16,37.55,23.13,Medium
42.21,315.36,86.17,980.95,14.41,51.19,3.11,6.88,14.83,10.79,26.49,10.2,18.64,19.01,Medium
27.4,300.55,89.35,934.02,22.15,49.87,3.11,3.58,11.4,33.17,41.6,4.08,37.39,15.26,Medium
40.88,314.03,70.35,975.82,34.41,38.78,3.11,5.13,10.78,27.82,41.95,5.53,34.89,19.29,Medium
52.47,325.62,33.02,1013.56,27.82,44.35,3.11,4.46,10.95,20.74,41.44,4.88,31.09,15.17,Medium
47.91,321.06,63.86,999.48,25.37,48.12,3.11,5.5,10.54,31.04,26.8,5.8,28.92,16.77,Medium
36.74,309.89,71.26,962.92,35.53,67.13,3.11,5.96,10.92,33.65,48.57,6.51,41.11,26.76,Medium
30.7,303.85,48.24,943.66,37.49,42.46,3.11,3.74,7.42,26.95,74.91,2.78,50.93,14.16,Medium
47.13,320.28,64.65,996.97,27.84,68.82,3.11,5.66,12.46,25.73,53.32,7.05,39.52,27.86,Medium
54.47,327.62,75.7,1020.19,21.43,67.66,3.11,6.59,12.43,13.2,32.71,8.19,22.95,18.8,Medium
16.73,289.88,77.79,900.59,38.97,48.94,3.11,4.74,8.21,52.65,50.76,3.89,51.7,20.11,Medium
24.68,297.83,71.15,925.96,25.64,30.93,3.11,5.09,13.17,25.06,33.68,6.7,29.37,19.68,Medium
16.2,289.35,70.87,900.92,20.67,60.17,3.11,4.31,12.1,19.85,33.97,5.22,26.91,14.05,Medium
20.37,293.52,83.04,912.03,22.06,49.99,3.11,5.39,13.58,13.97,43.04,7.32,28.5,20.86,Medium
51.21,324.36,73.63,1008.82,24,52.07,3.11,7.98,6.69,34.86,47.75,5.34,41.3,22.05,Medium
24.65,297.8,67.45,924.67,13.12,31.39,3.11,6.22,12.94,18.47,21.32,8.05,19.89,16.01,Medium
17.3,290.45,74.58,902.99,28.03,60.44,3.11,7.09,8.29,32.46,55.29,5.88,43.88,25.8,Medium
50.83,323.98,59.5,1008.58,37.1,58.39,3.11,5.11,8.07,46.72,53.47,4.12,50.09,20.64,Medium
30.43,303.58,79.46,945.17,21.02,67.19,3.11,5.62,11.77,25.43,31.01,6.61,28.22,18.65,Medium
20.68,293.83,55.41,913.2,26.16,53.01,3.11,7,6.83,22.32,50.32,4.78,36.32,17.36,Medium
27.54,300.69,37.73,934.09,34.03,67.75,3.11,4.45,12.37,36.51,63.8,5.5,50.16,27.59,Medium
40.64,313.79,71.77,977.36,26.2,43.39,3.11,5.93,9.26,34.39,38.46,5.49,36.42,19.99,Medium
45.37,318.52,51.55,989.36,18.82,48.92,3.11,7.47,9.38,22.47,35.41,7.01,28.94,20.29,Medium
23.11,296.26,83.99,924.61,38.7,69.75,3.12,6.32,14.05,53.82,49.69,8.88,51.75,45.95,Extreme
47.39,320.54,49.56,1000.44,39.78,34.72,3.12,7.87,12.94,49.87,73.81,10.18,61.84,62.95,Extreme
22.87,296.02,83.39,923.86,27.53,66.2,3.12,8.04,11.2,27.66,36.54,9,32.1,28.89,High
38,311.15,80.68,972.29,38.08,67.25,3.12,4.12,14.15,46.14,66.81,5.83,56.48,32.93,High
31.98,305.13,49.67,952.62,37.22,61.75,3.12,6.61,10.2,34.69,54.69,6.74,44.69,30.12,High
20.49,293.64,80.54,915.51,33.96,58.09,3.12,6.26,9.23,48.42,56.44,5.78,52.43,30.3,High
46.07,319.22,54.76,994.44,28.08,54.26,3.12,7.38,13.58,28.07,47.91,10.02,37.99,38.07,High
33.72,306.87,43.27,957.56,32.78,37.8,3.12,5.68,13.47,39.1,43.36,7.65,41.23,31.54,High
31.35,304.5,52.22,950.04,29.73,49.63,3.12,6.88,13.77,16.2,50.53,9.47,33.37,31.6,High
47.11,320.26,70.22,1000.81,33.03,46.18,3.12,7.15,11.1,41.55,48.68,7.94,45.11,35.82,High
20.99,294.14,38.32,918.51,8.17,40.43,3.12,7.45,8.9,6.74,10.57,6.63,8.66,5.74,Low
36.4,309.55,79.36,966.52,33.52,54.9,3.12,1.88,7.76,27.06,49.15,1.46,38.1,5.56,Low
29.53,302.68,54.03,944.27,36.76,68.83,3.12,4.86,5.62,34.67,53.73,2.73,44.2,12.07,Low
39.33,312.48,83.43,976.17,12.59,33.6,3.12,4.2,8.09,15.8,23.52,3.4,19.66,6.68,Low
46.36,319.51,71.38,996.52,4.88,44.96,3.12,2.84,8.79,3.78,7.02,2.5,5.4,1.35,Low
44.13,317.28,64.03,989.25,1.93,50.85,3.12,5.66,10.49,2.34,3.46,5.94,2.9,1.72,Low
18.35,291.5,87.55,908.64,7.69,33.55,3.12,4.63,5.83,4.29,9.5,2.7,6.89,1.86,Low
50.36,323.51,63.86,1010.54,29.27,30.93,3.12,1.98,15.11,31.5,30.61,2.99,31.05,9.28,Low
54.45,327.6,76.24,1022.27,4.92,61.58,3.12,4.85,9.89,6.56,9.76,4.8,8.16,3.92,Low
46.49,319.64,32.91,998.43,7.73,68.36,3.12,7.83,4.57,4.54,8.59,3.58,6.56,2.35,Low
18.18,291.33,49.27,907.7,22.45,31.95,3.12,4.92,8.87,25.73,27.84,4.36,26.79,11.68,Low
17.44,290.59,37.1,907.85,12.71,39.2,3.12,3.79,3.27,8.89,14.01,1.24,11.45,1.42,Low
37.85,311,60.45,969.08,27.48,45.5,3.12,5.25,6,16.99,41.3,3.15,29.14,9.18,Low
30.87,304.02,79.1,949.38,38.33,44.26,3.12,2.5,11.25,24.17,45.79,2.81,34.98,9.83,Low
54.65,327.8,39.39,1021.29,32.92,68.75,3.12,2.99,10.47,17.42,64.53,3.13,40.98,12.83,Low
25.38,298.53,72.28,932.25,5.1,38.9,3.12,2.47,12.03,5.62,5.32,2.97,5.47,1.62,Low
45.8,318.95,72.11,994.37,30.76,38.18,3.12,3.17,6.24,38.57,36.66,1.98,37.61,7.45,Low
53.28,326.43,65.03,1019.74,10.37,42,3.12,6.65,13.17,7.79,18.33,8.76,13.06,11.44,Low
15.85,289,46.88,903,10.78,63.74,3.12,1.66,3.85,12.91,16.38,0.64,14.64,0.94,Low
17.25,290.4,47.57,904.78,35.66,57.73,3.12,6.26,4.28,36.9,42.73,2.68,39.81,10.67,Low
52.77,325.92,54.35,1016.32,4.66,57.98,3.12,4.14,14.93,6.46,6.1,6.18,6.28,3.88,Low
44.39,317.54,30.72,989.67,9.91,41.79,3.12,4.5,7.38,11.33,19.1,3.32,15.21,5.05,Low
48.15,321.3,72.33,1003.51,14.69,39.47,3.12,3.58,11.12,7.49,25.85,3.98,16.67,6.63,Low
45.6,318.75,61.16,993.29,38.3,44.5,3.12,3.62,6.83,36.57,53.84,2.47,45.2,11.16,Low
45.88,319.03,75.36,994.37,8.02,30.52,3.12,5.26,15.33,4.4,15.61,8.06,10,8.06,Low
48.09,321.24,60.46,1001.98,1.45,60.5,3.12,3.25,7.34,2.1,2.26,2.39,2.18,0.52,Low
46.17,319.32,33.77,997.24,32.92,39.58,3.12,3.51,5.15,45.16,62.64,1.81,53.9,9.76,Low
50.28,323.43,30.08,1007.83,26.27,46.29,3.12,2.56,13.36,20.32,28.8,3.42,24.56,8.4,Low
23.5,296.65,37.01,926.88,36.56,39.78,3.12,3.56,4.22,34.26,59.8,1.5,47.03,7.05,Low
41.93,315.08,64.83,983.43,21.95,37.16,3.12,4.88,9.4,21.13,31.15,4.59,26.14,12,Low
26.83,299.98,58.33,934.67,34.69,63.91,3.12,1.1,12.91,31.32,54.14,1.42,42.73,6.07,Low
21.63,294.78,80.87,920.3,16.12,47.33,3.12,2.6,12.75,23.62,26.09,3.31,24.86,8.23,Low
41.19,314.34,30.21,981.16,21.82,55.46,3.12,2.12,9.67,19.44,22.95,2.05,21.2,4.35,Low
46.58,319.73,68.09,997.48,35.84,60.14,3.12,5.25,6,29.74,49.25,3.15,39.49,12.44,Low
23.58,296.73,88.58,925.41,4.56,51.81,3.12,3.72,13.55,6.76,5.04,5.04,5.9,2.97,Low
45.09,318.24,54.39,993.58,23.54,51.7,3.12,3.21,13.24,14.47,34.62,4.25,24.54,10.43,Low
53.89,327.04,87.22,1019.47,17.49,49.91,3.12,7.19,7.37,22.12,24.89,5.3,23.51,12.46,Low
36.63,309.78,42.54,966.22,5.02,68.44,3.12,0.9,11.88,4.98,9.14,1.07,7.06,0.76,Low
19.9,293.05,69.23,914.27,25.23,39.32,3.12,2.39,12.98,18.19,46.31,3.1,32.25,10,Low
26.46,299.61,69.28,933.66,8.06,45.51,3.12,2.55,14.28,5.26,13.18,3.64,9.22,3.36,Low
48.31,321.46,78.88,1003.55,17.36,35.64,3.12,2.05,11.89,19.43,18.37,2.44,18.9,4.61,Low
30.16,303.31,41.6,947.19,27.14,35.96,3.12,2.96,4.03,21.52,48.56,1.19,35.04,4.17,Low
15.62,288.77,45.29,901.54,29.99,33.71,3.12,1.83,3.46,41.33,46.77,0.63,44.05,2.78,Low
18.19,291.34,45.76,909.79,10.14,46.32,3.12,8.17,4.86,8.86,18.03,3.97,13.45,5.34,Low
24.71,297.86,83.87,930.03,8.8,63.19,3.12,7.69,15.37,10.33,9.87,11.82,10.1,11.94,Low
26.14,299.29,40.33,933.64,14.48,40.39,3.12,4.91,10.58,10.06,27.68,5.19,18.87,9.79,Low
42.76,315.91,33.61,985.65,39.51,43.03,3.12,0.86,8.27,44.38,45.89,0.71,45.14,3.2,Low
44.05,317.2,56.6,988.11,10.69,36.71,3.12,1.66,14.03,6.05,18.32,2.33,12.19,2.84,Low
36.45,309.6,62.59,966.98,27.66,37.09,3.12,2.98,9.2,19.07,48.94,2.74,34,9.32,Low
24.22,297.37,37.68,926.33,18.73,68.74,3.12,3.4,9,27.74,24,3.06,25.87,7.92,Low
53.55,326.7,73.4,1020.86,1.49,35.44,3.12,4.81,12.61,1.53,2.62,6.07,2.08,1.26,Low
29.09,302.24,72.94,941.59,14.48,63.96,3.12,7.19,6.94,16.17,18.16,4.99,17.16,8.56,Low
35.83,308.98,49.56,965.46,13.01,47.64,3.12,2.97,10.1,13.79,23.49,3,18.64,5.59,Low
39.78,312.93,35.27,977.44,1.14,66.81,3.12,5.48,7.04,1.18,1.16,3.86,1.17,0.45,Low
39.8,312.95,36.74,977.6,3.98,59.66,3.12,3.21,13.37,4.3,6.37,4.29,5.33,2.29,Low
33.41,306.56,45.83,956.32,9.47,33.05,3.12,6.26,12.41,8.77,15.77,7.77,12.27,9.53,Low
43.87,317.02,62.06,988.17,3.17,35.48,3.12,3.84,6.98,1.72,5.3,2.68,3.51,0.94,Low
19.04,292.19,86.25,910.68,32.96,45.19,3.12,2.57,6.46,47.57,41.88,1.66,44.73,7.43,Low
36.01,309.16,79.5,963.82,22.29,38.26,3.12,3.71,8.12,16.47,30.18,3.01,23.32,7.02,Low
35.15,308.3,35.91,961.6,18.85,60.86,3.12,5.3,5.94,17.47,35.95,3.15,26.71,8.41,Low
37.01,310.16,39.8,968.82,7.45,65.67,3.12,5.06,9.18,6.95,13.42,4.65,10.19,4.74,Low
44.32,317.47,32.34,991.24,39.02,61.77,3.12,3.9,6.35,47.13,40.71,2.48,43.92,10.89,Low
37.37,310.52,48.76,967.63,24.78,66.71,3.12,3.67,9.74,17.19,38.06,3.57,27.62,9.86,Low
38.67,311.82,44.45,971.96,24.41,37.59,3.12,2.51,12.42,27.77,37.68,3.12,32.73,10.21,Low
42.26,315.41,50.69,984.12,17.34,52.82,3.12,4.51,9.08,20.24,20.11,4.1,20.17,8.27,Low
54.24,327.39,74.62,1021.57,8.78,40.39,3.12,4.43,12.28,12.88,15.92,5.44,14.4,7.83,Low
15.49,288.64,75.44,900.75,24.64,31.1,3.12,2.72,6.04,17.87,40.31,1.64,29.09,4.77,Low
35.76,308.91,50.21,963.95,4.28,52.2,3.12,5.99,12.18,4.73,7.04,7.3,5.88,4.29,Low
19.36,292.51,37.49,911.61,20.05,68.53,3.12,4.31,5.55,22.56,22.07,2.39,22.31,5.33,Low
51.15,324.3,33.5,1012.84,11.91,58.66,3.12,5.17,9.24,17.42,16.67,4.78,17.05,8.15,Low
33.77,306.92,47.52,957.44,34.68,68.45,3.12,1.48,5.05,51.57,35.94,0.75,43.75,3.28,Low
50.55,323.7,41.96,1008.34,30.72,44.32,3.12,2.83,9.66,45.27,40.23,2.73,42.75,11.67,Low
24.85,298,87.15,929.66,32.22,32.73,3.12,0.63,9.82,43.58,61.79,0.62,52.69,3.27,Low
41.01,314.16,36.84,979.71,3.34,49.75,3.12,3.48,8.5,4.77,6.47,2.96,5.62,1.66,Low
35.29,308.44,74.67,961.62,36.07,42.01,3.12,2.21,13.37,35.67,39.08,2.95,37.38,11.03,Low
32.53,305.68,63.79,954.7,7.25,64.63,3.12,2.27,6.92,8.08,9.89,1.57,8.98,1.41,Low
17.94,291.09,40.22,909.16,17.28,68.15,3.12,7.29,9.06,13.23,20.69,6.6,16.96,11.19,Low
16.02,289.17,83.98,901.73,1.65,57.02,3.12,6.32,7.51,1.3,2.61,4.75,1.96,0.93,Low
48.47,321.62,63.36,1002.61,17.88,68.51,3.12,6.51,6.18,23.13,26.56,4.02,24.84,9.99,Low
46.17,319.32,88.11,996.87,2.86,43.89,3.12,4.36,13.89,4.27,3.01,6.06,3.64,2.21,Low
40.76,313.91,57.86,979.89,5.92,63.08,3.12,0.46,10.76,7.14,8.64,0.49,7.89,0.39,Low
45.96,319.11,53.76,994.07,7.04,60.46,3.12,2.08,10.45,5.1,11.17,2.17,8.13,1.76,Low
50.46,323.61,46.14,1008.59,16.85,40.93,3.12,1.74,13.4,8.69,30.3,2.33,19.5,4.54,Low
25.97,299.12,63.6,934.62,2.07,36.65,3.12,2.94,12.83,1.98,2.57,3.77,2.27,0.86,Low
27.79,300.94,39.3,938.28,32.83,34.93,3.12,4.14,4.1,44.57,59.62,1.7,52.09,8.86,Low
17.58,290.73,62.75,907.51,19.63,69.23,3.12,5.9,5.91,15.05,23.87,3.49,19.46,6.79,Low
52.53,325.68,68.66,1015.8,18.4,56.91,3.12,5.23,14.38,10.05,23.89,7.52,16.97,12.76,Low
31.19,304.34,59.09,948.73,20.55,53.73,3.12,2.44,12.18,27.86,26.81,2.97,27.34,8.12,Low
41.21,314.36,55.25,979.26,17.18,47.82,3.12,4.13,13.45,8.7,28.47,5.55,18.59,10.32,Low
35.24,308.39,50.25,963.38,24.36,57.96,3.12,5.2,4.85,34.81,47.18,2.52,41,10.33,Low
28.6,301.75,52.31,942.84,15.59,56.56,3.12,4.95,8,10.59,23.39,3.96,16.99,6.73,Low
45.93,319.08,73.52,996.42,16.94,42.84,3.12,4.98,7.57,20,28.35,3.77,24.18,9.12,Low
54.72,327.87,37.11,1021.53,4.06,65.86,3.12,4.59,12.7,2.36,6.64,5.83,4.5,2.62,Low
20.83,293.98,39.01,916.71,26.11,38.08,3.12,2.89,11.37,32.65,42.19,3.29,37.42,12.31,Low
40.04,313.19,35.97,977.45,33.97,55.22,3.12,1.12,6.55,49.16,45.97,0.73,47.56,3.47,Low
49.67,322.82,74.88,1006.29,35.37,37.98,3.12,2.53,7.61,21.46,69.9,1.93,45.68,8.82,Low
28.24,301.39,36.97,941.46,9.38,60.84,3.12,5.89,7.78,10.96,14.27,4.58,12.62,5.78,Low
31.89,305.04,40.53,952.89,27.82,69.94,3.12,3.55,10.29,17.03,52.78,3.65,34.91,12.74,Low
35.37,308.52,72.72,961.79,22.86,64.25,3.12,4.17,9.21,21.78,40.69,3.84,31.23,11.99,Low
44.99,318.14,71.06,993.7,13.25,39.1,3.12,3.92,12.93,10.12,16.24,5.07,13.18,6.68,Low
45.31,318.46,71.66,995.11,8.75,66.89,3.12,4.67,12,6.42,12.91,5.6,9.66,5.41,Low
50.67,323.82,50.97,1011.02,36.68,45.89,3.12,1.8,12.43,23.25,50.5,2.24,36.88,8.26,Low
30.93,304.08,54.98,948.47,10.07,47.43,3.12,6.87,14.06,9.03,15.53,9.66,12.28,11.86,Low
39.12,312.27,45.3,975.34,1.22,51.84,3.12,1.86,7.37,1.13,1.96,1.37,1.54,0.21,Low
29.77,302.92,64.83,944.45,1.79,56.4,3.12,5.32,11.48,2.23,2.48,6.11,2.35,1.44,Low
52.48,325.63,61.6,1015.29,5.29,30.75,3.12,6.86,6.83,5.8,7.51,4.69,6.65,3.12,Low
41.68,314.83,73.95,981.51,25.3,69.69,3.12,4.49,8,13,37.51,3.59,25.25,9.06,Low
34.7,307.85,40.22,959.22,7.09,44.57,3.12,0.99,9.13,9.16,12.77,0.9,10.96,0.99,Low
24.94,298.09,75.89,929.1,24.34,57.19,3.12,3.74,12.99,13.04,31.35,4.86,22.2,10.79,Low
48.44,321.59,69.81,1002.84,32.41,40.57,3.12,1.67,10.53,32.98,47.1,1.76,40.04,7.05,Low
14.93,288.08,40.72,900.14,19,40.86,3.12,4.58,3.51,12.24,28.99,1.61,20.61,3.32,Low
52.79,325.94,36.24,1017.34,36.62,35.64,3.12,3.36,12.53,45.85,38.51,4.21,42.18,17.76,Medium
54.13,327.28,63.49,1019.99,13.44,37.44,3.12,8.65,7.57,15.38,25.78,6.55,20.58,13.48,Medium
45.6,318.75,87.46,994.58,22.57,51.7,3.12,5.08,13.31,15.24,26.17,6.76,20.71,14,Medium
33.25,306.4,83.31,956.76,20.34,34.23,3.12,4.8,15.66,27.66,34.1,7.52,30.88,23.22,Medium
25.82,298.97,37.01,932.08,39.45,33.2,3.12,3.24,7.31,40.65,76.95,2.37,58.8,13.94,Medium
28.52,301.67,58.83,940.12,21.6,61.76,3.12,7.16,11.83,20.24,39.66,8.47,29.95,25.37,Medium
43.38,316.53,74.76,986.17,29.94,51.18,3.12,7.25,8.78,31.43,44.69,6.37,38.06,24.24,Medium
46.39,319.54,49.4,997.39,38.1,58.86,3.12,3.86,7.6,48.91,54.89,2.93,51.9,15.21,Medium
54.28,327.43,44.59,1020.98,16.95,35.64,3.12,8.56,13.97,19.87,21.75,11.96,20.81,24.89,Medium
52.8,325.95,59.54,1018.08,22.42,55.96,3.12,8.6,10.18,32.68,28.96,8.75,30.82,26.97,Medium
18.75,291.9,80.56,909.86,36.05,49.89,3.12,2.01,14.22,29.85,69.24,2.86,49.55,14.17,Medium
20.76,293.91,35.28,918.04,39.41,66.27,3.12,6.07,7.1,23.88,73.7,4.31,48.79,21.03,Medium
50.46,323.61,50.79,1009.47,28.18,49.55,3.12,6.65,9.42,35.15,30,6.26,32.58,20.4,Medium
20.67,293.82,38.78,918.16,29.77,67.36,3.12,4.77,12.72,15.1,41.69,6.07,28.39,17.23,Medium
53.55,326.7,58.79,1020.51,25,31.22,3.12,8.55,5.99,21.18,47.21,5.12,34.2,17.51,Medium
44.88,318.03,88.93,992.79,28.37,42.72,3.12,5.09,14.98,14.69,48.14,7.62,31.41,23.93,Medium
48.56,321.71,70.83,1002.44,19.06,49.63,3.12,4.6,14.35,22.73,36.18,6.6,29.45,19.44,Medium
40.75,313.9,68.56,979.69,31.88,54.58,3.12,5.17,15.42,28.1,37.67,7.97,32.89,26.21,Medium
17.07,290.22,65,905.24,27.83,36,3.12,8.12,5.82,22.12,35.89,4.73,29.01,13.72,Medium
41.77,314.92,81.61,983.76,36.12,53.36,3.12,6.01,8.33,24.04,47.1,5.01,35.57,17.82,Medium
49.54,322.69,88.95,1008.01,14.18,66.04,3.12,7.25,11.84,20.04,19.02,8.58,19.53,16.76,Medium
47.1,320.25,39.4,999.72,27.37,69.72,3.12,4,11.71,27.97,34.28,4.68,31.12,14.56,Medium
30.77,303.92,79.86,949.38,38.22,66.15,3.12,6.49,8.7,26.18,50.18,5.65,38.18,21.57,Medium
31.73,304.88,76.76,952.58,16.7,66.2,3.12,6.23,12.38,21.51,28.08,7.71,24.8,19.12,Medium
42.97,316.12,82.11,986.5,24.57,46.77,3.12,3.8,10.9,26.17,43.31,4.14,34.74,14.38,Medium
19.13,292.28,50.54,910.61,25.43,35.54,3.12,5.93,10.58,31.26,33.34,6.27,32.3,20.25,Medium
32.66,305.81,60.9,952.69,28.05,31.31,3.12,4.1,10.92,18.5,54.66,4.48,36.58,16.39,Medium
26.59,299.74,54.7,933.74,16.48,44.85,3.12,4.38,13.2,19.09,26.77,5.78,22.93,13.25,Medium
51.86,325.01,86.86,1013.03,21.2,60.99,3.12,7.64,10.15,13.18,31,7.75,22.09,17.12,Medium
34.19,307.34,65.77,958.8,28.36,44.12,3.12,3.99,11.63,21.43,45.42,4.64,33.42,15.51,Medium
21.94,295.09,68.61,921.76,29.01,56.18,3.12,4.37,9.63,35.11,52.76,4.21,43.94,18.5,Medium
50,323.15,56.91,1008.21,35.78,68.87,3.12,7.26,8.99,19.3,55.52,6.53,37.41,24.43,Medium
25.33,298.48,52.85,930.95,33,65.42,3.12,7.45,5.52,43.95,58.23,4.11,51.09,21,Medium
41.96,315.11,61.94,984.06,31.78,66.83,3.12,4.37,14.93,42.3,32.66,6.52,37.48,24.44,Medium
42.17,315.32,74.14,984.72,30.05,68.13,3.12,3.11,10.86,37.6,58.94,3.38,48.27,16.32,Medium
21.89,295.04,75.88,920.09,23.81,59.76,3.12,5.38,8.98,27.42,26.59,4.83,27.01,13.05,Medium
26.46,299.61,82.08,935.21,13.53,49.05,3.12,7.57,11.52,18.78,14.09,8.72,16.44,14.34,Medium
35.61,308.76,52.41,964.43,38.26,38.1,3.12,4.54,12.95,31.11,52.96,5.88,42.03,24.71,Medium
40.3,313.45,71.55,980.65,30.77,45.39,3.13,6.85,15.69,43.94,43.42,10.75,43.68,46.96,Extreme
48.55,321.7,53.44,1007.39,35.77,45.78,3.13,7.96,13.99,44.28,48.97,11.14,46.62,51.93,Extreme
21.22,294.37,76.98,922,38.82,34.16,3.13,7.57,12.55,52.93,58.26,9.5,55.59,52.81,Extreme
52.53,325.68,65.59,1019.95,38.63,46.14,3.13,8.03,9.51,42.22,75.34,7.64,58.78,44.91,Extreme
47.2,320.35,86.75,1002.67,33.36,64.15,3.13,6.94,14.56,45.16,46.63,10.1,45.89,46.35,Extreme
39.08,312.23,45.3,977.07,32.19,60.26,3.13,6.04,11.74,36.5,47.8,7.09,42.15,29.88,High
53.84,326.99,87.03,1024.6,35.31,54.85,3.13,8.31,8.56,50.98,53.23,7.11,52.1,37.04,High
15.26,288.41,45.58,903.35,35.86,67.84,3.13,8.22,10.44,39.15,46.2,8.58,42.67,36.61,High
15.89,289.04,70.37,905.57,23.08,54.17,3.13,6.51,14.37,28.65,42.19,9.35,35.42,33.12,High
18.08,291.23,64.65,911.8,37.07,69.03,3.13,4.41,12.99,53.52,45.69,5.73,49.61,28.43,High
29.9,303.05,52.95,947.4,32.2,67.15,3.13,6.17,13.85,28,62.15,8.55,45.08,38.54,High
37.01,310.16,79.88,969.43,28.47,63.69,3.13,5.18,15.95,34.48,34.09,8.26,34.28,28.32,High
50.12,323.27,88.31,1011.46,27.3,42.42,3.13,7.99,14.86,28.12,44.44,11.87,36.28,43.06,High
22.82,295.97,33.55,925.68,36.68,51.05,3.13,6.6,10.66,35.25,61.48,7.04,48.36,34.05,High
46.55,319.7,74.51,1000.93,33.62,44.15,3.13,5.96,14.82,42.32,51.59,8.83,46.95,41.46,High
54.37,327.52,31.6,1024.46,32.32,36.6,3.13,8.65,7.75,41.85,48.73,6.7,45.29,30.34,High
39.54,312.69,31.71,979.06,33.44,64.38,3.13,6.95,11.73,40.92,64,8.15,52.46,42.75,High
24.11,297.26,70.52,931.47,7.44,40.24,3.13,7.4,10.42,4.63,13.76,7.71,9.2,7.09,Low
40.87,314.02,44.9,981.81,21.53,60.16,3.13,2.57,9.5,24.47,24.3,2.44,24.38,5.95,Low
28.67,301.82,37.52,945.32,4.9,44.25,3.13,3.64,4.31,6.17,8.68,1.57,7.42,1.16,Low
18.45,291.6,33.4,912.48,1.99,52.47,3.13,4.37,4.55,1.48,3.74,1.99,2.61,0.52,Low
30.27,303.42,51.67,950.34,38.74,56.92,3.13,1.81,11.12,37.17,50.66,2.01,43.91,8.83,Low
49.36,322.51,47.84,1011,4.91,41.88,3.13,7.08,12.37,5.34,6.88,8.76,6.11,5.35,Low
27.84,300.99,89.19,940.86,10.31,39.55,3.13,5.11,14.39,8.41,13.46,7.35,10.94,8.04,Low
49.45,322.6,48.97,1010.89,31.24,32.19,3.13,2.5,14.35,16.18,36.57,3.59,26.38,9.47,Low
52.36,325.51,73.96,1019.21,12.19,35.75,3.13,7.19,6.86,13.14,24.18,4.93,18.66,9.2,Low
19.43,292.58,79.89,916.52,16.74,41.29,3.13,4.34,14.73,15.12,18.54,6.39,16.83,10.75,Low
37.68,310.83,71.06,973.7,4.28,52.43,3.13,3.96,10.3,4.02,7.28,4.08,5.65,2.31,Low
42.19,315.34,83.77,987.02,22.8,30.09,3.13,1.54,12.24,20.73,36.02,1.88,28.38,5.34,Low
40.21,313.36,44.36,981.79,4.18,69.9,3.13,3.99,6.81,5.22,5.88,2.72,5.55,1.51,Low
19.57,292.72,38.02,914.91,18.43,48.93,3.13,2.82,6.06,10.46,35.6,1.71,23.03,3.94,Low
27.11,300.26,70.34,940.56,19.66,49.03,3.13,2.32,10.08,27.03,20.21,2.34,23.62,5.53,Low
45.64,318.79,58.02,996.63,37.21,39.63,3.13,1.63,15.08,42.81,52.57,2.46,47.69,11.73,Low
39.05,312.2,89.47,977.95,16.85,52.3,3.13,2.24,11.01,12.63,29.25,2.47,20.94,5.17,Low
35.27,308.42,34.78,966.44,3.13,31.51,3.13,5.93,6.53,1.82,4.6,3.87,3.21,1.24,Low
24.78,297.93,71.18,933.62,9.18,35.42,3.13,7.36,7.69,13.6,17.34,5.66,15.47,8.76,Low
45.09,318.24,65.63,996.2,24.71,40.05,3.13,7.5,7.23,17.75,25.36,5.42,21.55,11.68,Low
30.72,303.87,52.07,951.63,13.48,57.42,3.13,5.64,8.14,9.72,24.86,4.59,17.29,7.94,Low
29.91,303.06,46.95,949.11,1.89,44.72,3.13,2.78,10.59,2.71,3.52,2.94,3.12,0.92,Low
